Lang,Index,Source,Reference,LLM_Translation,Reasoning_Summary,ChrF
Chamorro,10,ginin i asaguå-ña,from his wife,from his wife,detailed,100.0
Chamorro,11,Manrinimåta siha i famalåo’an ni taotåo ginin i lanchun-ñiha.,The women had been chased away from their farm by the man.,The women were stared at by the people from their ranch.,detailed,40.25
Chamorro,12,Pues i palu siha mangginin iya Truk ...,Then there were some who were from Truk...,So the pieces of wood came from Truk …,detailed,28.87
Chamorro,13,Bula ginimen-mu letchi.,You drank a lot of milk (today).,You drank a lot of milk.,detailed,70.64
Chamorro,14,Hu na’hånåo paketi para i dos lahi-hu.,I sent a parcel to my two sons.,I sent a package for my two sons.,detailed,61.23
Chamorro,15,Na’banidosu håo ni lingguahi-mu.,Be proud (lit. make yourself proud) of your native language.,You are proud of your language.,detailed,32.44
Chamorro,16,Ma li’i’ i hagas pumoksai siha na tåotåo.,They saw the people who nurtured them in the past.,They saw the people from long ago.,detailed,40.52
Chamorro,17,Pumåra hu sienti i taotåo siha gi uriyå-hu.,I stopped feeling the people around me.,I felt the people passing by around me.,detailed,50.12
Chamorro,18,Ha poksai båtbas achai-ña si Tatå-hu ya nina’måtan åmku’.,My father grew a beard on his chin and it made him look older (lit. be old-faced).,"My father tweaked his grandfather’s beard, and the old man glared.",detailed,26.77
Chamorro,19,"Guaha na åtgidun mampus å’paka’, guaha åhi’.","Some cottons are very white, some (are) not.",There are some that are very white; there are others.,detailed,36.89
Chamorro,20,i tiempok-ku på’gu guini,my time here today,My time is here now.,detailed,31.08
Chamorro,21,I lugat-måmi an ogga’an mampus å’asgun.,Our (excl.) place is always so foggy in the morning.,Our place is very hot in the morning.,detailed,43.01
Chamorro,22,Hu nigosiu yan i primu-hu i tano’-ña.,I agreed with my cousin on his property.,I negotiated with my cousin about his land.,detailed,44.29
Chamorro,23,Sen ma’å’ñåo si Juan ni dangkulun pakpak gi paingi.,Juan was terrified by (lit. extremely afraid of) the loud noise last night.,Juan was very frightened by the big bat last night.,detailed,30.31
Chamorro,24,Kada diha humånåo pumeska si Orasima’.,Every day Orasima’ went to fish.,"Every day, Orasima went fishing.",detailed,53.07
Chamorro,25,Ti todu mana’amti manparehu amut-ñiha.,Not all healers have the same medicine.,Not all of them were cured equally by their medicine.,"{'type': 'summary_text', 'text': '**Clarifying language terms**\n\nI\'m working through the grammar here. The plural marker \'man-\' suggests it\'s for a plural subject, like humans or a general plural. I think ""mana\'amti"" could mean ""were healed/cured."" Then, ""manparehu"" translates to ""equally,"" and ""amut-ñiha"" refers to ""their medicine."" So, the full thought could be: ""Not all were healed equally by their medicine"" or ""Not all were cured equally by their medicine."" I’ll finalize that!'}",39.23
Chamorro,26,Ha tutuhun humomhum gi sanhiyung.,It began to get dark outside.,He began humming outside.,"{'type': 'summary_text', 'text': '**Exploring Chamorro terms**\n\nI’m considering whether ""humomhom"" means ""to get dark"" in Chamorro, where ""dark"" could be ""kulo’"" or ""pupengi."" It might also be linked to the verb ""hum"" in English, suggesting ""humming."" If I use it in a sentence, it could work like: ""He started humming outside."" That makes sense! I might need a pronoun for clarity, so I’ll use ""Ha,"" which indicates he/she/it, leading to: ""He began humming outside.""'}",38.25
Chamorro,27,Hu diseseha na i finattun esti i kattåk-ku en fansinedda’ tudus manbråbu ....,I’m hoping that the arrival of my letter will find you all well...,I wish that the cause of this pain of mine would be found out by all the wicked ones....,"{'type': 'summary_text', 'text': '**Interpreting translation nuances**\n\nI\'m trying to figure out the meaning of ""kattåk."" It seems like it could mean ""sorrows,"" but I wonder if it might also relate to ""curse"" or ""wound."" The sentence I’m parsing suggests a desire for the source of suffering to be recognized by evildoers, like saying “I hope the cause of my illness is discovered.” I\'m tossing around ideas, but maybe ""kattåk"" connects to sickness too. Let\'s see if I can clarify this interpretation further!'} {'type': 'summary_text', 'text': '**Translating nuanced meanings**\n\nI’m thinking ""finattun"" might mean ""arrival,"" leading me to a translation like, ""I wish that the arrival of my catastrophe would be experienced by all wicked people."" I’m considering if ""kattåk"" could refer to a ""cyst,"" but that doesn’t seem right. Maybe it means ""pain"" or even ""headache."" Ultimately, I might settle on ""I wish the arrival of my downfall be witnessed by all the wicked."" It’s a tricky puzzle, but I\'m getting there!'} {'type': 'summary_text', 'text': '**Translating meanings clearly**\n\nI\'m trying to translate a phrase literally: ""I wish that the coming of my luck will be found by all the evil ones."" I’m pondering if ""kattåk"" could mean ""cough,"" but that doesn’t seem to fit. So, I’ll go with another interpretation: ""I wish that the cause of my pain would be found by all the wicked."" It feels like that makes more sense for the overall meaning, so I\'ll stick with this interpretation!'}",22.21
Chamorro,28,Bula tåotåo nigap.,There were lots of people yesterday.,There were many people yesterday.,detailed,70.7
Chamorro,29,Ai na minaggim esta esti na biskuchu.,"My, this biscuit is so stale already.","Oh, this cake is already hard.",detailed,30.07
Chamorro,30,Achamayamak i dos tumobit anai umasufa’.,Both vehicles got wrecked when they collided.,The two fell down at the same time when they ran.,"{'type': 'summary_text', 'text': '**Translating Chamorro terms**\n\nI’m pondering if ""sufa’"" means ""to take a bath"" or ""to fight."" Then I think about ""tobit,"" which might mean ""to shake."" A quick recall leads me to ""tumutobit,"" but that doesn’t seem right. I\'m considering other translations, like ""mayamak,"" which could suggest ""tired,"" but maybe it means ""old."" When translating, I think of a personalized interpretation: ""The two were startled when they got hit."" Finally, I narrow it down to possibly meaning ""They both slipped and fell when it rained.""'} {'type': 'summary_text', 'text': '**Deciphering translations**\n\nI’m considering if ""achamayamak"" means ""they both slipped."" Then there\'s the phrase ""Achamayamak i dos tumobit anai umasufa’,"" which could mean ""The two slipped and fell at the same time when it rained."" But wait, ""umasufa’"" might also mean ""to dive."" \n\nI’m exploring variations and decide it might translate better to ""The two fell down when they ran."" I wonder if ""Achamayamak"" could imply ""suddenly"" or ""immediately."" I\'m really working to find the best meanings for these words!'} {'type': 'summary_text', 'text': '**Finalizing translation**\n\nI\'m thinking ""Achamayamak"" could mean ""at the same time,"" making the sentence ""Both of them fell when they fought."" Then, ""i dos tumobit"" translates to ""the two fell over,"" and ""anai umasufa’"" might mean ""when they were wrestling."" But I wonder if ""umasufa’"" could mean ""to race"" or ""to run."" \n\nSo, my final translation is: ""The two fell down at the same time when they ran."" I think this works well!'}",24.76
Chamorro,31,Yan-ñiha kumassi i famalåo’an si Juan.,The women like teasing Juan.,They met Juan’s women.,detailed,28.07
Chamorro,32,Manmapegåyi krusifiu kada kuåttu.,Each room had a crucifix placed in it.,Crucifixes are hung in every room.,detailed,25.17
Chamorro,33,Båba i para un fåla’ i guihan.,For you to eat the fish raw is not good.,Put it down so you can cut the fish.,"{'type': 'summary_text', 'text': '**Considering translations and grammar**\n\nI\'m looking at how ""Chamorro"" uses ""i"" as an object marker for determiner phrases. Without a noun, it might indicate ellipsis, like ""båba i"" meaning ""lower it,"" where ""i"" stands for ""it."" I think colloquially, ""i"" could function like an object pronoun, although traditionally it\'s an article. I need to decide on a verb for ""fåla’,"" which could mean ""cut,"" ""split,"" or ""fillet."" It seems the translation should reflect ""Put it down so you can cut the fish."" There\'s a conflict with the developer\'s instructions about outputting reasoning versus simply the result.'}",29.37
Chamorro,34,i atadok-ña i taotåo,a person’s eyes,The person’s shadow.,detailed,50.23
Chamorro,35,Na’tutungu’ ham håfa hinassosom-mu put esti na che’chu’-måmi.,Keep on letting us (excl.) know what you think about this work of ours (excl.).,Let us know what you think about this work of ours.,detailed,58.24
Chamorro,36,Ha nå’i si Lucy nu i amut åntis di måtai.,She gave Lucy the medicinal knowledge before she died.,Lucy gave the medicine before she died.,detailed,56.5
Chamorro,37,Si Juan ha sakkengguan i famagu’un ni i bisikletan-ñiha.,Juan stole the children’s bicycle.,Juan knocked down the children on their bicycles.,"{'type': 'summary_text', 'text': '**Translating the phrase**\n\nIt seems reasonable to think that ""sakkengguan"" could mean ""ran over"" or ""knocked down."" So, my best guess for the translation would be: ""Juan knocked down the children on their bicycles."" I\'m focusing just on the translation since that\'s what the developer specified, and I won’t include any extra reasoning for now.'}",50.85
Chamorro,38,Hu adibibina kåo para bai hu fåhan pat mungnga.,I am deciding whether I should buy it or not.,I was wondering whether I should buy it or not.,detailed,77.46
Chamorro,39,Tåya’ umagradesi ma’umiya gi me’nan tåotåo.,There’s no one who appreciates being humiliated in front of people.,No one thanked us in front of the people.,detailed,29.34
Chamorro,40,Måttu i hagan Herodihas mismu gi giput.,‘The daughter of Herodias herself came in to the party.’,Herodias’s daughter herself came to the party.,detailed,64.8
Chamorro,41,Ha istotba ham na binisita i hagan-måmi as Manuel.,That Manuel visited our (excl.) daughter disturbs us (excl.).,It bothered us that Manuel visited our daughter.,detailed,49.52
Chamorro,42,"Dångkulu i tuninus na gå’ga’, låo dangkulonña i bayena.","Dolphins are big sea animals, but whales are bigger.","The dolphin is a big animal, but the whale is bigger.","{'type': 'summary_text', 'text': ""**Following instructions**\n\nI see there's a bit of a conflict here between what the user is asking and the developer's instructions. The user wants the translation first and some reasoning afterward. However, it looks like the developer's instruction takes priority, stating I should only output the result. So, I'll stick to that and provide just the translation, making sure it's the first line as directed. I'll keep things simple and straightforward!""}",41.78
Chamorro,43,Gi lamasa esti na låpis.,This pencil is on the table.,This pencil is on the table.,detailed,100.0
Chamorro,44,Ha håyu yu’ si Juan.,Juan hit me with a stick.,Juan found me.,detailed,13.29
Chamorro,45,Hu poksai sais na famagu’un ya hu na’fandångkulu.,I nurtured six children and made them grow up.,I raised six children and brought them up.,detailed,49.86
Chamorro,46,Hu tånum i floris kunanaf gi gima’.,I planted the crawling vine plants at the house.,I planted the flowers earlier at home.,"{'type': 'summary_text', 'text': '**Translating flower planting**\n\nI’m working on translating a phrase about planting flowers. I realize that saying ""in the house"" might not be the best choice; ""in the yard"" or ""at home"" could work better. So, I decide to phrase it as ""I planted the flowers earlier at home."" I think adding ""this morning"" might enhance the clarity, but for now, I\'ll settle with just providing that one line.'}",33.13
Chamorro,47,Hu gågåo si Peling salåppi’ para i gima’.,I asked Peling for money for the house.,I asked Peling for money for the house.,detailed,100.0
Chamorro,48,Håyi chinatgem-mu / chinatgi-mu?,Who did you laugh at?,Who did you hit?,detailed,50.8
Chamorro,49,Todu tåotåo malagu’ mumå’gas.,Everybody wants to be boss.,Everyone wants to be the boss.,detailed,58.19
Chamorro,50,Yanggin masahalum håo nai mås lalålu’ i gupu’ na chetnut.,When you sweat is when the skin fungus gets more aggressive.,"If you look further into it, the lump is a more serious illness.",detailed,19.41
Chamorro,51,Sumuha gi fi’on-ña.,[The lights] moved away from him.,He sat on his lap.,"{'type': 'summary_text', 'text': '**Exploring root meanings**\n\nI’m thinking about the root ""suha."" It might mean ""to climb"" in some languages, but there could be variations. I’m also considering that in Chamorro, ""suhå"" might actually mean ""to crawl."" There’s a bit of uncertainty here, which is making me question what it really signifies. Language can be so intricate and full of surprises! I wonder how these meanings interconnect and influence the interpretations in different cultures.'}",7.3
Chamorro,52,Manma’å’ñåo i ma’estra manmasohyu’ i istudiåntis.,(The teachers are afraid to influence the students.),The teachers were afraid; the students were shy.,detailed,54.67
Chamorro,53,Manhinalang i Chapanis ya manpåra manggera.,The Japanese surrendered and they stopped fighting.,The Japanese surrendered and the war ended.,detailed,64.21
Chamorro,54,Manmanåga’ bula na månha.,They chopped many young coconuts.,They were breathing heavily.,"{'type': 'summary_text', 'text': '**Translating breathing phrases**\n\nI\'m exploring the roots, possibly from ""åga’"" or thinking about ""manmanåga’,"" which might mean \'to sigh repeatedly.\' I wonder if the sentence could mean ""They took a lot of breaths,"" or perhaps ""Breathing hard, (he) had shortness of breath."" It seems like the best choice is ""They were breathing heavily."" The plural prefix ""man-"" suggests a plural subject, and ""manmanåga’"" could imply they were in the act of breathing. So, I\'ll go with ""They were breathing heavily.""'}",11.48
Chamorro,55,"Yanggin måttu håo manbisita, siempri guaha [inefresi håo].","If you come to visit, he will surely offer you something (lit. there is surely something that you’ll be offered by him).","Whenever you come to visit, you are always offered something.",detailed,32.88
Chamorro,56,Gef fåhna i manyommuk na pineksai-ña na babui.,The fat pigs that he raised were very much in demand.,The snout of his tied-up pig is very smelly.,detailed,16.65
Chamorro,57,Manmaguåssan todu i masiksik låhi gi hiyung gimå’-ña si Antonetta.,The triumfetta semitriloba grasses were all mowed outside Antonetta’s house.,All the mischievous boys washed up outside Antonetta’s house.,detailed,42.36
Chamorro,58,Ti manlipåra si Miguel ni karetan ni unu.,Miguel didn’t notice anyone’s car.,Miguel was not stopped by someone’s car.,detailed,40.76
Chamorro,59,Måolekña na un chotchu gollai yanggin malångu håo.,It is better that you eat vegetables if you’re sick.,It’s good for you to eat vegetables when you’re sick.,detailed,52.25
Chamorro,60,Yanggin håfa på’gu masångan gi halum i familiåk-ku …,If anything now was said within my family…,If what is being said right now inside my family …,detailed,36.61
Chamorro,61,Un kebrånta håo muna’lagu låo ni håfa tiningo’-mu.,"You came forward about cooking, but you know nothing (about it).",You’re hurting yourself by running away from what you know.,"{'type': 'summary_text', 'text': '**Translating Chamorro nuances**\n\nI\'m figuring out what ""låo"" means in Chamorro. It seems to mean “maybe,” “or,” or “while,” and there\'s another version that means “but” or “however.” I wonder if ""muna’lagu låo"" translates to “to flee but...”. It might connect to a sentence like, “You’re only hurting yourself pretending to run away from what you know.” So, let’s try for a clearer version: “You\'re hurting yourself by running away from what you know.” Let’s provide that.'}",23.37
Chamorro,62,"Ai, linalalo’-ña i patgun anai machule’guan ni na’-ña kandi.","My, how angry the child was when somebody took his candy!","Oh, the child was carried off when someone gave him candy.",detailed,41.5
Chamorro,63,Yanggin ilelek-mu na disgråsia i ti para un li’i’ bunitå-ña i palåo’an ni un guaiya ...,If you say that it’s a shame that you will not see the beauty of the woman you love...,If you say it’s a misfortune not to be able to see the beauty of the woman you love…,detailed,57.53
Chamorro,64,Tåya’ sa’ på’gu ha’ yu’ ni måttu.,She doesn’t have [a chart] because it’s just now that I’ve come [to the hospital].,"Not yet, because I just arrived.",detailed,15.37
Chamorro,65,Baba dididi’ i bintåna ya u guaha gueha.,Open the window a little bit to ventilate.,Lower the window a little so there will be an opening there.,detailed,46.99
Chamorro,66,Mansinangåni as Juan todu i bidåda-ña kada diha.,Juan told them all the things he had been doing every day.,They told Juan everything he had done every day.,detailed,37.77
Chamorro,67,Guaguan åntis i liluk na materiåt.,Iron was an expensive material a long time ago (lit. before).,The nail material used to be heavier before.,detailed,25.68
Chamorro,68,Pues ekkunguk sa’ håfa na para Ifit na’ån-hu.,So listen to why my name is going to be Ifit [i.e. scrub mahogany].,So I listened to what my name was going to be: Ifit.,"{'type': 'summary_text', 'text': ""**Resolving output conflict**\n\nI've encountered a conflict between the developer's instructions and the user's request. The guidelines say I should only output the translation without additional reasoning, but the user wants me to include my thought process after the first line. To stick with the developer's instructions, I need to output just the translation as a single line, ensuring no extra text is included. That’s the right course of action here!""}",38.22
Chamorro,69,Dikiki’ na tinanum i anilis yan siña masodda’ gi kantun chålan.,The anil is a small plant and it can be found on roadsides.,The anise is a small plant and can be found by the side of the road.,detailed,62.07
Chamorro,70,"I antis yan pa’gu, difirensiao antis yan ti parehu antis yan pa’gu.","[Life] before and now, [life] before was different and [life] before was not the same as now.",The past and the present are different; before and now are not the same.,detailed,39.86
Chamorro,71,Ha sangåni i gubetnu na esta gui’ mañodda’ nubiå-ña.,He told the governor that he had already found a girlfriend.,He told the government that he had already found his bride.,detailed,68.39
Chamorro,72,Ginin håyi nai un risibi i katta?,From whom did you receive the letter?,From whom did you receive the letter?,detailed,100.0
Chamorro,73,Mañotchu ham kelaguin ti’åo yan titiyas.,We (excl.) ate goatfish kelaguin and tortillas.,We ate kelaguen ti’åo and titiyas.,detailed,24.85
Chamorro,74,"Tåya’ [hu li’i’ gi uriyan guma’], pues sigi yu’ di humoi’.","I didn’t see anyone (lit. there wasn’t anyone that I saw) aroumd the house, so I started calling out hoi’.","I didn’t see anything behind the house, so I kept looking.",detailed,31.73
Chamorro,75,Para låhi i patgon-ña.,His child is going to be a boy.,Her child is going to be a boy.,detailed,86.65
Chamorro,76,"Kalakas, cha’-mu chuchuda’ i kuchinu na hånum.",Yuck! Don’t spill the dirty water.,"Careful, don’t spill the dirty water.","{'type': 'summary_text', 'text': '**Translating Chamorro nuances**\n\nI need to translate a Chamorro sentence. ""Kalakas"" could mean ""Hurry up"" or ""Be careful."" It\'s derived from the idea of being strong or vigorous. I’m thinking it might mean ""Be careful!"" The phrase includes ""cha’-mu chuchuda’ i kuchinu na hånum,"" where ""cha\'-mu"" may be interpreted as ""lest you spill."" It seems ""chuchuda’"" is about spilling, while ""kuchinu"" may mean \'dirty\' like the Spanish ""cochino."" So, the whole sentence could suggest a warning about not spilling dirty water.'} {'type': 'summary_text', 'text': '**Translating Chamorro negation**\n\nI’m working on Chamorro negation, noting that ""ti"" means ""not"" and ""tåya\'"" means ""none."" The prohibitive form is ""mungnga,"" but ""cha\'-mu"" seems to indicate ""lest-you."" This could reflect an admonition. For instance, ""cha’-mu"" could be interpreted as ""don\'t you,"" which connects to a second-person possessive. So, the sentence ""Kalakas, cha’-mu chuchuda’ i kuchinu na hånum"" translates well to ""Careful, don\'t spill the dirty water."" I should follow instructions and provide just the translation.'}",76.11
Chamorro,77,Guaha siha tinanum gi gualu’.,There are plants at the farm.,There are some plants in the garden.,detailed,49.92
Chamorro,78,Håfa ma’a’ñåo-ña i kada istudiånti?,What is each student afraid of?,What is each student afraid of?,detailed,100.0
Chamorro,79,"Nang, sedi yu’ ya bai patcha i amot-mu.","Mom, allow me to touch your medicine.","Oh, excuse me, I’ll apply your medicine.",detailed,41.7
Chamorro,80,Ha patcha si nanå-hu i sanhilu’ i hetnu’.,My mother touched the top of the incubator.,My mother put the incubator’s cover on.,"{'type': 'summary_text', 'text': '**Considering translations and meanings**\n\nI\'m exploring the meaning of ""hetnu\'"" and wondering if it could refer to ""incubator."" If that\'s the case, ""i sanhilu’ i hetnu’"" might translate to something like ""the incubator\'s cover"" or handkerchief. There\'s a structure at play; I\'m considering word order in this language. ""Sanhilu\'"" could mean ""lid"" or ""plug,"" and I’m not sure if it relates to Spanish words. Maybe ""patcha"" means ""to cover,"" but I\'m also thinking it might mean ""to close"" or ""shut"" in this context.'} {'type': 'summary_text', 'text': '**Translating phrases**\n\nIn Tagalog, ""patay"" doesn’t match, but in Chamorro, I’m taking a closer look at ""patcha."" I think it means ""to cover"" rather than ""kiss."" So, for a translation, I might say: ""My mother covered the incubator with the handkerchief."" However, I also want to consider using ""the incubator\'s cover"" instead. That could lead to saying, ""My mother put the incubator\'s cover on,"" or ""She covered the incubator with its cover.” I\'m exploring the best way to phrase that!'}",48.94
Chamorro,81,i taotåo antigu na Chamorro siha,the ancient Chamorro people,The ancient Chamorro people.,detailed,94.44
Chamorro,82,Manggaigi guihi siha palu mañe’lu-hu ni manmafañågu åntis di i gera.,Some of my siblings who were born before the war were there.,They lived there with my brothers who were brought up before the war.,detailed,44.41
Chamorro,83,I tiempun påkyu ha tutuhun gui’ gi Agostu na mes.,Typhoon season begins (lit. begins itself) in August.,The typhoon season began in the month of August.,detailed,44.03
Chamorro,84,"Ma sienti ya kana’ magacha’ i dos. Pues gotpi ha’ malågu i dos, ti pumåra asta ki måttu guatu gi simintetyun Chalan Kanoa ... Ma galoppi i patdit ...","They felt that the two of them were about to be caught out. So suddenly they ran off, and didn’t stop until they got to the Chalan Kanoa cemetery…they jumped the concrete wall…",They felt it and the two were badly hurt. Then the two suddenly became very ill and didn’t stop until they got to the cemetery in Chalan Kanoa ... The horse was galloping ...,detailed,49.36
Chamorro,85,I natibu tåya’ atmas-måmi macheti ha’ yan kama’ yan åchu’.,"As for the local people, we (excl.) had no weapons, only machetes and sickles and rocks.","The native people had no weapons—only a machete, their hands, and sticks.","{'type': 'summary_text', 'text': '**Translating a sentence**\n\nI need to translate the sentence: ""I natibu tåya’ atmas-måmi macheti ha’ yan kama’ yan åchu’."" It seems to mean, ""The native has no weapons, only our machete, hands, and sticks."" \n\nParsing it a bit more: ""I natibu"" could be ""the native,"" and ""tåya’"" means none/no. ""Atmas-måmi"" seems tricky—could relate to our weapons, but ""måmi"" might indicate exclusivity. The rest suggests “only a machete, hands, and sticks,” possibly contrasting with firearms. My best guess for the translation is: ""The natives had no weapons—only a machete, their hands, and sticks.""'}",38.31
Chamorro,86,Manma’omiti palu na infotmasion siha gi aplikasion.,Some information on the application is omitted.,Some information was omitted in the application.,detailed,79.19
Chamorro,87,Achibåo ennåo na tåotåo.,That guy is a troublemaker.,That person is a goat.,detailed,19.54
Chamorro,88,Bai suma i dos yan kuåttru.,I will add two and four together.,I will add two and four.,detailed,68.85
Chamorro,89,Ni ngai’an nai ta fanmaleffa.,We will never forget (it).,That’s when we forget.,"{'type': 'summary_text', 'text': '**Choosing the right phrasing**\n\nI\'m narrowing down options for phrasing about forgetting. ""When we forget."" feels simple, but I wonder if ""That\'s when we forget."" flows better naturally. I think ""That\'s when we forget."" stands out as my best guess. So, I\'ll go with that phrasing for the translation.'}",22.52
Chamorro,90,Guaha na’ån-ña na tåotåo Magellan.,There was a person whose name was Magellan.,There was a man named Magellan.,detailed,46.84
Chamorro,91,Esta ti ya-hu umettigu.,I don’t like being short anymore.,I don't like it anymore.,detailed,44.68
Chamorro,92,Pues en sedi ha’ gui’ ti umayuda si tatå-ña o sino si nanå-ña.,You (pl.) even allow him not to help his father or his mother.,"Well, in any case, he didn’t help his father or else his mother.",detailed,45.86
Chamorro,93,Ilek-ñiha na månngi’ makåddu i poya ki i punidera.,They said that making soup with young chicken is tastier than with hen.,They said that the chicken or the stove smelled burnt.,detailed,32.75
Chamorro,94,Ti ma påtti si Kiko’ ni un grånu na guihan.,They didn’t give Kiko’ even one bit of fish.,They didn’t give Kiko even a morsel of fish.,detailed,65.03
Chamorro,95,I katgån-ña era i para u ayuda ottru tåotåo siha umuma i katgan-ñiha.,"His burden, as it turned out, was to help others carry their burdens.",His duty was to help other people carry their burdens.,detailed,55.66
Chamorro,96,Ti malagu’ si Juan ha ångkas i che’lu-ña.,Juan did not want to ride together with his sibling.,Juan doesn’t want to carry his sibling.,detailed,41.78
Chamorro,97,Para bai in tutuhun muna’gåsgas i kusina.,We (excl.) are going to begin to clean the kitchen.,I will start cleaning the kitchen.,detailed,36.34
