Lang,Index,Source,Reference,LLM_Translation,ChrF
Basque,39,Mikel Inakirekin eta Jonekin joango da antzerkira.,Mikel will go to the theatre with Inaki and with Jon.,Mikel will go to the theatre with Iñaki and Jone.,75.24
Basque,40,Nori/nork zer iruditu zaio esan duela?,To whom does it seem that who said what?,Who does it seem to whom that (someone) has said what?,61.73
Basque,41,Eta zure prestutasunaz... nork zer erranen du?,And who will say what on your virtue?,And about your willingness... who will say what?,50.66
Basque,42,"Liburu hau irakurtzean, zutaz gogoratu nintzen.",I remembered you upon reading this book.,"While reading this book, I remembered you.",75.36
Basque,43,Ordaindu egin gäbe utzi zituen bere zorrak.,He left his debts unpaid (without paying).,He left his debts unpaid.,57.76
Basque,44,Emakume batek ez luke nahi alabari gerta lekion berari gertatua.,A woman would not wish that the same thing that happened to her might happen to her daughter.,A woman would not want what happened to her to happen to her daughter.,63.19
Basque,45,"Loteria irabazten denean, bere lagunak inguratzen dira.","When one wins in the lottery, his friends get close to him.","When you win the lottery, your friends gather around you.",42.32
Basque,46,Joxe-eta etorri garalzarete.,??Joxe-and etorri garalzarete.,Joxe and the others have come.,16.17
Basque,47,Miren beldur/gose/ροζ da/dago.,Miren is frightened/hungry/happy.,Miren is afraid/hungry/pink.,43.84
Basque,48,Txakurra den baino handiagoa iruditu zait.,The dog has seemed to me bigger than it is.,The dog seemed bigger to me than it is.,61.85
Basque,49,Ane etxera iritsi zen eta Mirenek ireki zion atea.,Ane arrived home and Miren opened the door.,Ane arrived home and Miren opened the door for her.,94.55
Basque,50,Ez du jende gutxik ezer egin.,Few people didn't do anything (intended).,Not few people did nothing.,39.84
Basque,51,Zinemara joan nahi duzu ala?,You want to go to the movies or what?,Do you want to go to the cinema or what?,65.5
Basque,52,Gizonaren semeak ez du bere burua non pausa.,‘The Son of man has nowhere to lay his head.’,The Son of Man has nowhere to lay his head.,84.28
Basque,53,Gorpua desagertarazi dute.,They have made the corpse disappear.,They made the body disappear.,49.7
Basque,54,hetarik joaki den kea,the smoke which is going from them.,the smoke that has gone out of them,33.03
Basque,55,Hango dirua galdu dut.,I lost the money from there.,I lost the money from there.,100.0
Basque,56,Zerekin ikusi dituzu zure lagunak lasai?,What did you see your friends relaxed with?,What did you see your friends relaxed with?,100.0
Basque,57,"Dantza, Jonek EGITEN du.","As for dancing, Jon does dance.",Jon DOES dance.,20.6
Basque,58,Nire zereginak zureak baino astunagoak dira.,‘My tasks are harder than yours.’,My tasks are heavier than yours.,71.15
Basque,59,Iazko kontabilitatea ikertu dute?,Last year's accounts from where did they examine?,Did they investigate last year’s accounts?,40.0
Basque,60,...ez dut zuei erran beharrik nori eman behar diogun gure boza.,...I need not tell you who we should give our vote to.,...I don’t need to tell you who we should give our vote to.,80.7
Basque,61,punturik gehienak auzi bihur-tu-a-k ditugu,we have made [of] most topics controversial issues ('we have them turned into issues'),We have turned most points into a dispute.,20.78
Basque,62,"Giire amona eldii da-nen, amä(g)ana jiin ge(r)a.","When our grandma arrived, we went to our mother.","When our grandmother got old, we went to (our) mother.",61.26
Basque,63,Ez da erraz esaten zer egin duen.,It's not easy to say what he has done.,It’s not easy to say what he/she has done.,84.38
Basque,64,"Abenduko eguna, argitu orduko iluna.","Days of December, darkness as soon as there is light.","A December day: as soon as it gets light, it’s dark again.",41.57
Basque,65,Gothortzearekin batak bertzeari traba eginen dio.,"As they develop, they will hinder each other.","With the crowding, one will get in the other’s way.",22.79
Basque,66,"Diogu-n ere, gaztelu hurbil-gaitz-ean baino are-ago pasabide-ko lurralde-an mintza-tu-a de-n-ez, beste edozein-ek hainbat harreman iza-n du-ela gure-a-k bi mila urte-otan zehar bederen.","Let us also say that, since it is spoken in a territory that is more a thoroughway than an unapproachable castle, ours [i.e. our language] has had as much contact as any other, at least in the last two thousand years.","Even so, since what we are talking about is a land of passage even more than that hard-to-reach nearby castle, any other [land/people] has had as much contact as ours, at least over the course of these two thousand years.",45.94
Basque,67,ezin joan ahal izatea,not to be able to go,not being able to go,52.52
Basque,68,Emakumeek hiruna ogi erosi zituzten.,The women bought three loaves of bread apiece.,The women bought three loaves of bread each.,83.4
Basque,69,Etorri handiko bertsolaria da Iturriaga.,Iturriaga is a verse-improviser of great inspiration.,Iturriaga is a bertsolari with a great future.,32.85
Basque,70,"Behin lana amaituz gero, gustatzen zaio lagunekin ardo pare bat hartzea.","After having finished work, she/he likes having a couple of glasses of wine with her/his friends.","Once the work is finished, he/she likes to have a couple of glasses of wine with friends.",57.78
Basque,71,Amodioa zein den zoroa mundu guztiak badaki.,Everybody knows how crazy love is.,Everyone knows how crazy love is.,76.1
Basque,72,haurrek etxean liburuak sarri irakurtze-an/-tik/-agatik...,upon/from/because of children's often reading books at home...,…when/from/because children often read books at home…,62.49
Basque,73,Hilario d-en gogorr-arekin!,Hilario is so strong!,With Hilario’s toughness!,36.23
Basque,74,Kotxe berri bat erosi nahi dut.,I want to buy a new car.,I want to buy a new car.,100.0
Basque,75,Leihoa apurtuta dago.,The window is broken.,The window is broken.,100.0
Basque,76,minutu eta segunduro,every minute and second,every minute and every second,80.06
Basque,77,Oihu(ka) egin dute.,"They screamed, yelled.",They shouted.,20.39
Basque,78,JONEK esan du GAUR dela merkatu eguna.,JON said that TODAY is market day.,JON said that TODAY is market day.,100.0
Basque,79,Zu ikustearren etorri dira.,They have come with the purpose of seeing you.,They came to see you.,17.69
Basque,80,"Ceren basco-ac bai-tira abil, animos eta gentil eta hetan ϊςα-η bai-ta eta bai-ta sciencia guci-etan lettratu handi-rik mira-z nago, iaun-a, nola batere ez-ten assaya-tu bere lengoage proprio-aren fauore-tan heuscara-z cerbait obra egui-te-ra eta scribu-tan imei-te-ra;","Since the Basques are skillful, courageous and genteel, and among them there have been and there are great scholars in all sciences, I am surprised, my lord, how no one has tried, in favor if his own language, to do some work in Basque and to offer it in writing.","For since the Basques are capable, spirited and noble, and since among them there are—and there are—great learned men, well lettered in all the sciences, I marvel, sir, that they have not at all tried, in favor of their own proper language, to make some work in Basque and to set it down in writing;",51.76
Basque,81,Nik Pello eta Mikeli deitu diet.,I have called Pello and Mikel.,I called Pello and Mikel.,81.22
Basque,82,Lekuederrak daude Bizkaian.,There are beautiful places in Bizkaia.,There are beautiful places in Biscay.,81.81
Basque,83,Ohi bezala dena amaitzeko dagoenean heldu zarete!,"As usual, you have arrived when everything is about to finish.","As usual, you’ve arrived when everything is still to be finished!",70.18
Basque,84,Lankideek erretzeak buruhauste franko ematen dit.,My workmates' smoking gives me a lot of headaches.,My coworkers smoking gives me a lot of headaches.,76.01
Basque,85,laguntzat dauzkate,they consider them friends,They consider them (as) help.,60.96
Basque,86,Nork erosi nahi du kotxe hori?,Who wants to buy that car?,Who wants to buy that car?,100.0
Basque,87,Nork ekarri dio nori etxera zer?,Who brought what to whom home?,Who brought what home to whom?,73.51
Basque,88,"Zer uste duzu, ergelak garela ala?","What do you think, that we are stupid or what?","What do you think, that we’re idiots or what?",69.97
Basque,89,Elkarren kitzikatzen hari ziren.,They were teasing each other.,They were teasing each other.,100.0
Basque,90,Ikastolaren aitzinean ikusi zintudan.,I saw you in front of the Basque school.,I saw you in front of the ikastola.,61.12
Basque,91,Zu eta biok elkarrekin joango gara.,You and I will go together.,You and I will go together.,100.0
Basque,92,Nolatan ahal dateke hori horrela?,How can be this so?,How can that be so?,40.43
Basque,93,Garazi irakaslerik onen-a da.,Garazi is the best teacher.,Garazi is the best teacher.,100.0
Basque,94,Zure bila joan dira mendira.,They went to the mountain to look for you.,They went to the mountains to look for you.,91.17
Basque,95,A zan nik euki neban atsegina!,That was the pleasure I had! What a pleasure I had!,"Oh, what a pleasure I had!",42.8
Basque,96,Konpainia ez zagoken buruzagirik gäbe.,The company couldn't stay without a leader.,The company was not without a leader.,62.5
Basque,97,Mikel diru eske etorri zait.,Mikel came up to me asking for money.,Mikel came to me asking for money.,84.41
Basque,98,"Zenbat eta gehiago ikasten dut hortaz, orduan eta interesatuagoa nago.","‘The more I learn about that, the more interested I am.’","The more I learn about it, the more interested I am.",84.12
Basque,99,Elkarren lehian dabiltza.,They are in competition with each other.,They are competing with each other.,67.07
